go_term,bg_count,top_count,p_value,q_value
protein binding,31600,811,0.0,0.0
nucleoplasm,8880,360,1.1773343829013782e-195,3.525527809598177e-192
chromatin,2855,185,4.689498719493026e-129,9.361802610347912e-126
positive regulation of transcription by RNA polymerase II,3865,187,3.3882080343186567e-108,5.072994479383609e-105
nucleus,37585,514,2.670104169438387e-90,3.1982507741533e-87
positive regulation of DNA-templated transcription,2384,135,1.0595332381246041e-85,1.0575907605213756e-82
regulation of transcription by RNA polymerase II,6710,207,2.407827742582826e-84,2.0600686214755065e-81
cytosol,17099,326,5.594191118223096e-83,4.187951325879765e-80
cytoplasm,31423,432,5.5544357267229694e-71,3.6961683963715407e-68
negative regulation of transcription by RNA polymerase II,3463,139,2.6335753660194953e-69,1.577248286709076e-66
RNA polymerase II cis-regulatory region sequence-specific DNA binding,4886,160,9.235078842798665e-68,5.028080653592837e-65
"DNA-binding transcription factor activity, RNA polymerase II-specific",5003,157,5.900027398246561e-64,2.944605340674888e-61
regulation of DNA-templated transcription,6896,180,9.266179401839193e-62,4.268857572124225e-59
"DNA-binding transcription activator activity, RNA polymerase II-specific",1480,88,2.187620534108889e-57,9.35832812769867e-55
sequence-specific double-stranded DNA binding,1337,82,1.562247032685119e-54,6.237531652500785e-52
glutamatergic synapse,1573,87,3.486124692804918e-54,1.304900049075541e-51
DNA-binding transcription factor activity,4631,137,1.346431125245421e-52,4.743397652408722e-50
chromatin binding,1828,90,7.445148688820634e-52,2.4771664165192656e-49
negative regulation of DNA-templated transcription,2030,92,5.353620825761734e-50,1.6875176381835276e-47
extracellular exosome,2471,100,6.046066085649582e-50,1.8104944893477673e-47
DNA binding,6764,157,4.2964107183439817e-47,1.225295418674386e-44
identical protein binding,4714,124,2.6260998255472397e-42,7.148959934182918e-40
sequence-specific DNA binding,2396,87,6.887952660435776e-40,1.7935629775369504e-37
signal transduction,5244,125,2.1795870058732944e-38,5.438977740906317e-36
protein phosphorylation,1837,75,8.240396892208912e-38,1.974069479497567e-35
dendrite,1655,69,2.0927622497270182e-35,4.820597351390428e-33
protein-containing complex,2102,74,3.646571790841536e-33,8.08863646494443e-31
transcription regulator complex,962,52,3.0056919572596227e-32,6.428960404295671e-30
nervous system development,1399,60,1.436747304765281e-31,2.9671308993928506e-29
DNA-binding transcription factor binding,490,39,1.04427216069195e-30,2.0847153234613627e-28
RNA polymerase II-specific DNA-binding transcription factor binding,533,40,1.7879379400891734e-30,3.4541807494174384e-28
RNA polymerase II transcription regulatory region sequence-specific DNA binding,1584,62,2.058617496658393e-30,3.8528313085897238e-28
plasma membrane,25439,295,4.216144968514739e-30,7.651664308010537e-28
protein kinase binding,1456,59,8.985287115782686e-30,1.5827318981300739e-27
transcription cis-regulatory region binding,1649,62,1.8129664996967444e-29,3.102244676195372e-27
synapse,2529,75,6.831175756794343e-29,1.1364419890955923e-26
protein homodimerization activity,2072,67,5.238058855819644e-28,8.478576888514555e-26
"DNA-binding transcription repressor activity, RNA polymerase II-specific",1143,51,8.686263987274079e-28,1.3690009215732753e-25
negative regulation of cell population proliferation,1005,48,1.6743383555593804e-27,2.571182669601315e-25
focal adhesion,783,41,3.5727270096470623e-25,5.349265515194065e-23
chromatin remodeling,1309,51,3.951924994551687e-25,5.7727021444805e-23
postsynaptic density,790,41,4.992799852528501e-25,7.119494837331712e-23
positive regulation of gene expression,1357,51,1.956879645594437e-24,2.725523766852345e-22
axon,1608,55,2.5373911389893835e-24,3.4537353480471405e-22
transcription coactivator activity,982,44,3.2215917239754227e-24,4.28758062997529e-22
RNA binding,5049,99,4.721355143234968e-24,6.146999120181353e-22
enzyme binding,1007,44,8.657590261223964e-24,1.086451512695697e-21
signaling receptor complex,494,33,8.707575990882194e-24,1.086451512695697e-21
multicellular organism development,205,24,2.0180358004967684e-23,2.4665339610561523e-21
nuclear body,827,40,2.4660609340983548e-23,2.9538477868630095e-21
cytoskeleton,3217,76,2.978647535584683e-23,3.4978666844346405e-21
cadherin binding,487,32,6.847176550125057e-23,7.886103915134417e-21
neuron projection,1259,47,1.6926437373706036e-22,1.912687423228782e-20
postsynaptic membrane,878,40,2.1377061721293615e-22,2.3329291933675977e-20
protein kinase activity,2852,70,2.1424462453701434e-22,2.3329291933675977e-20
perinuclear region of cytoplasm,2045,59,2.30746591719288e-22,2.4677523889407424e-20
axon guidance,829,38,1.9543776223372507e-21,2.05346799652242e-19
negative regulation of apoptotic process,1671,52,2.908475536101837e-21,3.003251721674811e-19
regulation of gene expression,1490,49,4.294539717703517e-21,4.3593217575129425e-19
transcription coregulator activity,652,34,4.7130542602130494e-21,4.704413660735992e-19
intracellular signal transduction,1847,54,8.00008039674088e-21,7.854505163291988e-19
protein serine kinase activity,1107,42,1.6844982490104914e-20,1.6271709698909409e-18
positive regulation of cell population proliferation,1509,47,2.3525648973941425e-19,2.2364303445227808e-17
transcription coactivator binding,141,18,1.3031744185816046e-18,1.2194861863883172e-16
protein domain specific binding,640,31,2.054754123198708e-18,1.8932188375133943e-16
positive regulation of miRNA transcription,122,17,2.548595979924075e-18,2.312657776328074e-16
cell surface,2085,52,3.242644177576165e-17,2.898536713358754e-15
dendritic spine,473,26,5.569648800760447e-17,4.9053862746697526e-15
nuclear speck,1174,38,1.9506376152320895e-16,1.6930969098007226e-14
actin cytoskeleton organization,818,32,2.560120373419831e-16,2.190365845201624e-14
cell differentiation,1759,46,3.9820489465366e-16,3.323616764792691e-14
positive regulation of cell migration,719,30,3.9956655045094966e-16,3.323616764792691e-14
regulation of small GTPase mediated signal transduction,197,18,5.449754295969366e-16,4.471038147748018e-14
postsynapse,786,31,5.998897631836487e-16,4.855053772576854e-14
adherens junction,678,29,6.529094752893997e-16,5.145098483563441e-14
cell-cell junction,678,29,6.529094752893997e-16,5.145098483563441e-14
ATP binding,7007,102,8.135403103105081e-16,6.32765314084368e-14
chromatin DNA binding,317,21,1.389160474432739e-15,1.0666259078689326e-13
beta-catenin binding,322,21,1.8959887751483363e-15,1.4373514904257452e-13
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,502,25,2.1232472437650915e-15,1.5895159678636415e-13
Schaffer collateral - CA1 synapse,258,19,4.5441542420069666e-15,3.359869105602435e-13
protein tyrosine kinase activity,520,25,4.723875556706704e-15,3.450157403550787e-13
regulation of apoptotic process,794,30,5.421745045033327e-15,3.912148322253566e-13
neuronal cell body,1450,40,6.0941914937609924e-15,4.345013435254117e-13
cis-regulatory region sequence-specific DNA binding,301,20,6.192527532117655e-15,4.3631820458650155e-13
cell surface receptor protein tyrosine kinase signaling pathway,432,23,6.819226505536514e-15,4.748877621123045e-13
negative regulation of cell growth,270,19,1.038832512665728e-14,7.151227492362121e-13
transcription corepressor activity,706,28,1.3332004179102244e-14,9.073337844164015e-13
chromosome,2197,49,1.8288284966185228e-14,1.2306577377807115e-12
positive regulation of cold-induced thermogenesis,211,17,2.8391069103898948e-14,1.8892679207027867e-12
DNA damage response,1388,38,3.668045144365528e-14,2.414057403253313e-12
brain development,808,29,5.563250513719113e-14,3.6215551442025833e-12
heart development,870,30,5.731317914062367e-14,3.690845482507475e-12
negative regulation of cell migration,431,22,6.137929947629047e-14,3.910644942164932e-12
nuclear matrix,301,19,7.36043795063323e-14,4.640175040667622e-12
transcription coregulator binding,103,13,9.114738618044402e-14,5.686267664944575e-12
modulation of chemical synaptic transmission,395,21,1.037832937680212e-13,6.407815942027618e-12
animal organ morphogenesis,399,21,1.260583780164311e-13,7.703710468779652e-12
osteoblast differentiation,242,17,2.6738167460279924e-13,1.617524090097136e-11
transcription repressor complex,172,15,2.9040743950115706e-13,1.7392501551724296e-11
RNA polymerase II transcription regulator complex,419,21,3.2262948783675436e-13,1.9130970323310118e-11
cell migration,936,30,3.658003462140827e-13,2.147821836741315e-11
transcription corepressor binding,146,14,4.850194630895894e-13,2.820176276158787e-11
negative regulation of gene expression,1016,31,5.293345730588545e-13,3.0482545750475763e-11
histone binding,831,28,6.820696814519199e-13,3.890395544967189e-11
fat cell differentiation,185,15,8.428272195694702e-13,4.7619737905675066e-11
protein phosphatase binding,264,17,1.0889802308651888e-12,6.0952360772445e-11
zinc ion binding,5165,77,1.1490907431641337e-12,6.329526525614736e-11
positive regulation of apoptotic process,914,29,1.1519759413792056e-12,6.329526525614736e-11
signaling receptor binding,1336,35,1.2849361603990236e-12,6.995893331481593e-11
negative regulation of miRNA transcription,60,10,3.7303522431214425e-12,2.0127098724373262e-10
ubiquitin protein ligase binding,842,27,5.407285112404154e-12,2.8914491551953996e-10
protein-containing complex assembly,337,18,5.461670541454599e-12,2.8946853869709375e-10
cell junction,548,22,7.010201608467985e-12,3.682815564308312e-10
protein serine/threonine kinase activity,2352,46,1.0040101098608209e-11,5.228710041701266e-10
actin cytoskeleton,879,27,1.4242865210548313e-11,7.353493081549469e-10
central nervous system development,569,22,1.44631734249508e-11,7.403414157438491e-10
endoplasmic reticulum lumen,628,23,1.476386373923513e-11,7.493286435108407e-10
protein-containing complex binding,1161,31,1.535357651351586e-11,7.727106700793822e-10
tau protein binding,69,10,1.6016757826437577e-11,7.99369688521122e-10
transcription factor binding,96,11,2.1577058036187487e-11,1.067975211394437e-09
positive regulation of osteoblast differentiation,160,13,2.7188222349364265e-11,1.334674292215923e-09
positive regulation of ERK1 and ERK2 cascade,534,21,3.061966967844564e-11,1.4909040788960237e-09
GABA-ergic synapse,328,17,3.377526614829829e-11,1.6312908787270843e-09
promoter-specific chromatin binding,243,15,4.1970590338993733e-11,2.0108949243218676e-09
negative regulation of autophagy,203,14,4.2847319300927935e-11,2.0366078991528366e-09
vascular endothelial cell response to laminar fluid shear stress,22,7,4.695050379950172e-11,2.2140674587024864e-09
regulation of cell cycle,730,24,4.884165799587344e-11,2.285255388572547e-09
regulation of cell migration,439,19,5.281961504207669e-11,2.4522222828449403e-09
outflow tract septum morphogenesis,55,9,5.3588434467353925e-11,2.468777954038328e-09
double-stranded DNA binding,558,21,6.846855091768366e-11,3.130214896534408e-09
molecular adaptor activity,745,24,7.365264697664649e-11,3.3417098692661804e-09
transmembrane transporter binding,398,18,8.313964958316821e-11,3.743784671831537e-09
cellular response to growth factor stimulus,214,14,8.641639285502172e-11,3.8622968418561575e-09
angiogenesis,567,21,9.161278674246855e-11,4.064214665189957e-09
protein sumoylation,178,13,1.0360686470288353e-10,4.497568781142793e-09
phosphatidylinositol 3-kinase/protein kinase B signal transduction,178,13,1.0360686470288353e-10,4.497568781142793e-09
positive regulation of kinase activity,59,9,1.036340777755394e-10,4.497568781142793e-09
endocytic vesicle membrane,85,10,1.350614622452892e-10,5.8193028588995465e-09
histone deacetylase binding,361,17,1.4886689072655768e-10,6.3683129182953856e-09
positive regulation of MAPK cascade,583,21,1.516887508877557e-10,6.443006589126021e-09
hemopoiesis,267,15,1.569487963118004e-10,6.619481275432201e-09
chondrocyte differentiation,116,11,1.7229722734700498e-10,7.216000661407083e-09
negative regulation of translation,417,18,1.760824988913126e-10,7.323320040694939e-09
peptidyl-tyrosine phosphorylation,118,11,2.0743522319098592e-10,8.567790011660792e-09
peptidyl-serine phosphorylation,232,14,2.506087548521388e-10,1.0280108443900406e-08
response to xenobiotic stimulus,801,24,3.133763170819762e-10,1.2767420156489493e-08
B cell differentiation,237,14,3.3134358997098336e-10,1.3396242737083256e-08
presynaptic membrane,490,19,3.3328438267246705e-10,1.3396242737083256e-08
circadian regulation of gene expression,196,13,3.4210045224136346e-10,1.3658930723156838e-08
positive regulation of GTPase activity,332,16,3.674154981051972e-10,1.4572525948026663e-08
protein dimerization activity,808,24,3.7224599322483125e-10,1.4666981930417857e-08
positive regulation of G1/S transition of mitotic cell cycle,125,11,3.8682911701549053e-10,1.5054451144484635e-08
aortic valve morphogenesis,68,9,3.8710727604786e-10,1.5054451144484635e-08
regulation of G1/S transition of mitotic cell cycle,160,12,3.9787747762892624e-10,1.5373472345287994e-08
nuclear receptor binding,126,11,4.215077732204679e-10,1.61821157295986e-08
cell cortex,814,24,4.307968699451786e-10,1.64333914273992e-08
regulation of cell shape,389,17,4.657128025791023e-10,1.7652873257254708e-08
protein heterodimerization activity,1501,33,4.947991716537957e-10,1.8637435465626303e-08
14-3-3 protein binding,97,10,5.084120584117749e-10,1.903049886142575e-08
apoptotic process,908,25,7.557767186165074e-10,2.811395507946747e-08
postsynaptic density membrane,403,17,7.951155518708636e-10,2.931684068719774e-08
heterophilic cell-cell adhesion,210,13,7.979036620492957e-10,2.931684068719774e-08
synaptic membrane adhesion,102,10,8.379266496707077e-10,3.05996506394992e-08
membrane,30668,263,8.725337782429202e-10,3.167033210846575e-08
regulation of cell population proliferation,520,19,8.884652036513236e-10,3.195193578024296e-08
kidney development,353,16,8.909623101186465e-10,3.195193578024296e-08
calmodulin binding,648,21,1.0031400801317244e-09,3.5760749642314866e-08
MAPK cascade,357,16,1.0474313235213274e-09,3.7118734890942187e-08
positive regulation of endothelial cell migration,139,11,1.2067218655013565e-09,4.251210148522132e-08
regulation of focal adhesion assembly,53,8,1.2509245406026995e-09,4.381162031385712e-08
calcium ion binding,3037,49,1.3746185037180316e-09,4.7572663327344446e-08
positive regulation of angiogenesis,364,16,1.383292672490732e-09,4.7572663327344446e-08
negative regulation of inflammatory response,364,16,1.383292672490732e-09,4.7572663327344446e-08
interleukin-6-mediated signaling pathway,34,7,1.3900845019678207e-09,4.7572663327344446e-08
positive regulation of myoblast differentiation,108,10,1.474216650966554e-09,5.0165247287719836e-08
positive regulation of T cell differentiation,80,9,1.707134206396471e-09,5.7762863062759694e-08
cellular response to amyloid-beta,112,10,2.1080965079394312e-09,7.092915722499581e-08
cytoskeletal protein binding,229,13,2.2861341802839556e-09,7.648970729452855e-08
positive regulation of endothelial cell proliferation,151,11,2.9035602862111506e-09,9.660790307843655e-08
transcription by RNA polymerase II,441,17,3.0619424163567685e-09,1.0131476868265572e-07
transmembrane receptor protein tyrosine kinase activity,236,13,3.286923415784228e-09,1.0816145240182277e-07
regulation of GTPase activity,119,10,3.814773132453341e-09,1.2416671896882097e-07
SWI/SNF complex,119,10,3.814773132453341e-09,1.2416671896882097e-07
cytoplasmic stress granule,571,19,4.063210501190097e-09,1.3153820373852696e-07
regulation of cell differentiation,197,12,4.269289205569232e-09,1.374665217857749e-07
insulin receptor signaling pathway,243,13,4.669221881405222e-09,1.4953994570981751e-07
semaphorin-plexin signaling pathway,160,11,5.33791670346344e-09,1.6974732190543515e-07
protein dephosphorylation,458,17,5.356861552868132e-09,1.6974732190543515e-07
positive regulation of bone mineralization,91,9,5.436574112769771e-09,1.7136653874409557e-07
basolateral plasma membrane,856,23,5.614004994121544e-09,1.7524235770453546e-07
glucose homeostasis,347,15,5.618055214438271e-09,1.7524235770453546e-07
protein-macromolecule adaptor activity,1008,25,6.035893627696165e-09,1.8723818336765354e-07
homophilic cell-cell adhesion,788,22,6.065154044635964e-09,1.8723818336765354e-07
dendritic shaft,126,10,6.64903861676695e-09,2.042107296195757e-07
system development,408,16,6.9616149257706335e-09,2.1271995811449145e-07
protein autophosphorylation,409,16,7.204596572126304e-09,2.190270501038804e-07
cell-cell adhesion,796,22,7.261059642796962e-09,2.1944228916366932e-07
actin binding,1174,27,7.291537075232959e-09,2.1944228916366932e-07
histone deacetylase complex,165,11,7.365276335739371e-09,2.2055319987371547e-07
chemical synaptic transmission,659,20,7.466589599367093e-09,2.2247465229158966e-07
positive regulation of cardiac muscle cell proliferation,66,8,7.56173625882911e-09,2.2419424977290862e-07
integrin binding,411,16,7.714006318119258e-09,2.2735014652038595e-07
negative chemotaxis,128,10,7.744102502948528e-09,2.2735014652038595e-07
negative regulation of canonical NF-kappaB signal transduction,254,13,7.92444337865364e-09,2.3150971412076412e-07
negative regulation of cold-induced thermogenesis,96,9,8.753656148356348e-09,2.5449343044905907e-07
GTPase activator activity,1106,26,8.8927714310225e-09,2.572889280212258e-07
gene expression,667,20,9.11718215153338e-09,2.625134803150645e-07
neuron projection morphogenesis,260,13,1.0459837565328182e-08,2.997319003767966e-07
nuclear retinoic acid receptor binding,45,7,1.1065043138350332e-08,3.1556449216942924e-07
B cell activation,70,8,1.2165794464554346e-08,3.4368369362366027e-07
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,70,8,1.2165794464554346e-08,3.4368369362366027e-07
lamellipodium,548,18,1.2596694059732314e-08,3.541859188907832e-07
presynapse,759,21,1.555678003547412e-08,4.350106778186172e-07
guanyl-nucleotide exchange factor activity,981,24,1.561651289547549e-08,4.350106778186172e-07
positive regulation of erythrocyte differentiation,73,8,1.704733762824832e-08,4.6947781313033735e-07
ephrin receptor signaling pathway,139,10,1.712701297758112e-08,4.6947781313033735e-07
T-tubule,139,10,1.712701297758112e-08,4.6947781313033735e-07
scaffold protein binding,179,11,1.7167413771171128e-08,4.6947781313033735e-07
presynaptic active zone membrane,140,10,1.8344287193234034e-08,4.993815272739937e-07
negative regulation of fat cell differentiation,105,9,1.9325833730092128e-08,5.237213493643519e-07
synapse assembly,226,12,1.9768243729021266e-08,5.332973499689566e-07
positive regulation of excitatory postsynaptic potential,75,8,2.1168450896318578e-08,5.685105489598742e-07
cell periphery,704,20,2.2120280607056697e-08,5.914212524806364e-07
positive regulation of collateral sprouting,15,5,2.334459428179776e-08,6.213812229052747e-07
regulation of G0 to G1 transition,50,7,2.372159591319467e-08,6.286222916996587e-07
G1/S transition of mitotic cell cycle,281,13,2.6156511061406706e-08,6.900940297214307e-07
stem cell differentiation,110,9,2.906631459722734e-08,7.635006935210287e-07
nuclear receptor activity,284,13,2.9623298675997056e-08,7.747333439761849e-07
cytoplasmic side of plasma membrane,394,15,3.01500314739296e-08,7.850806021624539e-07
positive regulation of neuron projection development,338,14,3.062004993371346e-08,7.938678746883546e-07
cytoskeleton organization,517,17,3.125110437442406e-08,8.067364831828693e-07
negative regulation of smooth muscle cell proliferation,79,8,3.2041959773432355e-08,8.236021334038043e-07
small GTPase binding,1023,24,3.4063369382463044e-08,8.718184582545777e-07
cellular response to hypoxia,654,19,3.488237496880276e-08,8.889810369708925e-07
protein-DNA complex,113,9,3.677090508899496e-08,9.331396210931814e-07
ureteric bud development,81,8,3.908398396835503e-08,9.843320648312437e-07
positive regulation of cartilage development,32,6,3.911688619633261e-08,9.843320648312437e-07
positive regulation of interleukin-2 production,82,8,4.3078566451330454e-08,1.0794875919540505e-06
cell adhesion,1454,29,4.431019779562763e-08,1.1057240608250576e-06
positive regulation of Wnt signaling pathway,116,9,4.620115647957731e-08,1.1481274944240188e-06
anatomical structure development,55,7,4.694034823419925e-08,1.1568960723235363e-06
histone H3 methyltransferase activity,55,7,4.694034823419925e-08,1.1568960723235363e-06
transmembrane receptor protein tyrosine phosphatase activity,33,6,4.756292060330519e-08,1.1674357848081753e-06
positive regulation of double-strand break repair,117,9,4.9781823925023395e-08,1.2119648109226224e-06
positive regulation of intracellular signal transduction,117,9,4.9781823925023395e-08,1.2119648109226224e-06
membrane raft,602,18,5.179282154342144e-08,1.2558186567755101e-06
ventricular septum morphogenesis,84,8,5.2132048877678e-08,1.2589469384210223e-06
activation of GTPase activity,119,9,5.767567379021678e-08,1.3872273507213186e-06
metanephric collecting duct development,18,5,6.5606280954269e-08,1.571664066540468e-06
outflow tract morphogenesis,121,9,6.663937132089228e-08,1.5837428366699359e-06
negative regulation of cell adhesion,121,9,6.663937132089228e-08,1.5837428366699359e-06
Fc-epsilon receptor signaling pathway,35,6,6.898716295895959e-08,1.6330597587399566e-06
pulmonary valve morphogenesis,36,6,8.2357718657657e-08,1.926728821098179e-06
negative regulation of androgen receptor signaling pathway,36,6,8.2357718657657e-08,1.926728821098179e-06
SMAD protein signal transduction,124,9,8.235808619154014e-08,1.926728821098179e-06
animal organ development,492,16,9.159413116473222e-08,2.134464013796036e-06
negative regulation of neuron projection development,166,10,9.218445501441884e-08,2.139894190237808e-06
atrioventricular node development,8,4,9.282172327528053e-08,2.1463679563538803e-06
positive regulation of cell differentiation,212,11,9.683401807466776e-08,2.230534362496866e-06
positive regulation of SMAD protein signal transduction,91,8,9.79009924180901e-08,2.2464714313867496e-06
Z disc,432,15,9.94315373197219e-08,2.2728835000298263e-06
atrioventricular canal development,38,6,1.1552825823896431e-07,2.6109386362005933e-06
beta-catenin-TCF complex,38,6,1.1552825823896431e-07,2.6109386362005933e-06
smooth muscle tissue development,38,6,1.1552825823896431e-07,2.6109386362005933e-06
early endosome,1017,23,1.2464299706451202e-07,2.8063417647344453e-06
nuclear retinoid X receptor binding,39,6,1.3582958882151138e-07,3.03538584870161e-06
alpha-actinin binding,39,6,1.3582958882151138e-07,3.03538584870161e-06
cell adhesion molecule binding,443,15,1.3721032156616137e-07,3.054842438140299e-06
negative regulation of neuron apoptotic process,384,14,1.4628186640221595e-07,3.244748510677301e-06
transcription initiation-coupled chromatin remodeling,133,9,1.5045995146233352e-07,3.3128847401026305e-06
regulation of multicellular organismal process,133,9,1.5045995146233352e-07,3.3128847401026305e-06
cortical actin cytoskeleton,223,11,1.6116573667705567e-07,3.535610245270646e-06
camera-type eye development,224,11,1.6856357071832735e-07,3.684405930773951e-06
cellular response to transforming growth factor beta stimulus,178,10,1.7687868471213273e-07,3.852096155421684e-06
Ras protein signal transduction,277,12,1.8134439968383845e-07,3.9350420641540166e-06
SMAD binding,136,9,1.8209106336021596e-07,3.936979705647413e-06
basement membrane,335,13,1.9961176719824243e-07,4.3002693300369565e-06
extracellular matrix structural constituent,336,13,2.0650075484512758e-07,4.432734841460463e-06
semaphorin receptor complex,42,6,2.15033428127717e-07,4.599411432346062e-06
ATP-dependent chromatin remodeler activity,139,9,2.193490432182593e-07,4.675022846384893e-06
tau-protein kinase activity,101,8,2.2070742896751175e-07,4.687293588958964e-06
apical plasma membrane,1403,27,2.565330358443662e-07,5.428891702020881e-06
semaphorin-plexin signaling pathway involved in axon guidance,10,4,2.7577973391371083e-07,5.815650797215543e-06
regulation of nucleotide-excision repair,72,7,3.11583899714022e-07,6.543986935772412e-06
regulation of signal transduction,409,14,3.1250296604289696e-07,6.543986935772412e-06
positive regulation of cell cycle,106,8,3.2068663136094414e-07,6.691959007737611e-06
cellular response to glucose stimulus,239,11,3.218584770735873e-07,6.693091733311507e-06
positive regulation of chondrocyte differentiation,45,6,3.287454675016548e-07,6.812652611997961e-06
T cell differentiation,107,8,3.4475741161662135e-07,7.119834959213604e-06
chemorepellent activity,108,8,3.7035797187674404e-07,7.622247056940963e-06
platelet-derived growth factor binding,25,5,3.9273372174754135e-07,8.055076231322004e-06
wound healing,244,11,3.951909747876833e-07,8.077811426632885e-06
ankyrin binding,47,6,4.289297840141087e-07,8.72601501272046e-06
regulation of metal ion transport,11,4,4.31274076434339e-07,8.72601501272046e-06
NMDA glutamate receptor clustering,11,4,4.31274076434339e-07,8.72601501272046e-06
protein localization to synapse,76,7,4.5278396076587806e-07,9.043952156675978e-06
insulin-like growth factor receptor signaling pathway,76,7,4.5278396076587806e-07,9.043952156675978e-06
regulation of cyclin-dependent protein serine/threonine kinase activity,76,7,4.5278396076587806e-07,9.043952156675978e-06
nucleic acid binding,3136,44,4.530281594594746e-07,9.043952156675978e-06
positive regulation of blood vessel endothelial cell migration,111,8,4.5715031821591016e-07,9.095924437857429e-06
positive regulation of cell adhesion,152,9,4.679315882088339e-07,9.279610204578497e-06
cellular response to insulin stimulus,303,12,4.710395655691897e-07,9.310415703610155e-06
cardiac right ventricle morphogenesis,26,5,4.838009221460813e-07,9.531196456358162e-06
sarcolemma,365,13,5.259201883115742e-07,1.0327003304255796e-05
negative regulation of type I interferon production,78,7,5.414430661761635e-07,1.0597067069702757e-05
positive regulation of developmental process,49,6,5.528678412886342e-07,1.0785425086246352e-05
negative regulation of osteoblast differentiation,158,9,6.47924009493291e-07,1.2598756145634154e-05
P-body,436,14,6.67750571734602e-07,1.2942259463166768e-05
signaling receptor activity,1122,23,6.754809711366411e-07,1.304985656818498e-05
intracellular glucose homeostasis,81,7,7.01485184164942e-07,1.3508664848758321e-05
negative regulation of smooth muscle cell migration,28,5,7.155958230781836e-07,1.3692343081198855e-05
Fc-gamma receptor signaling pathway involved in phagocytosis,28,5,7.155958230781836e-07,1.3692343081198855e-05
BMP signaling pathway,260,11,7.386318235987585e-07,1.4088108253289695e-05
"Wnt signaling pathway, planar cell polarity pathway",52,6,7.925323094091371e-07,1.5068177781115306e-05
microtubule organizing center,379,13,8.004777954203636e-07,1.5171080749280246e-05
positive regulation of axonogenesis,83,7,8.288393316978131e-07,1.5617574694420026e-05
positive regulation of epithelial to mesenchymal transition,120,8,8.292517536860192e-07,1.5617574694420026e-05
nuclear membrane,729,18,8.331768048193705e-07,1.5642306846593135e-05
integrin-mediated signaling pathway,265,11,8.898945519409178e-07,1.6654932723669242e-05
regulation of calcium ion transport,84,7,8.994490846539624e-07,1.6781310180662247e-05
synaptic membrane,214,10,9.58900415118354e-07,1.7834952130881437e-05
positive regulation of Notch signaling pathway,166,9,9.790841799462567e-07,1.8153978804018984e-05
branching morphogenesis of an epithelial tube,54,6,9.9509715902252e-07,1.8393941004277383e-05
type II interferon-mediated signaling pathway,30,5,1.0272280630030128e-06,1.8929442674846288e-05
protein phosphatase 2A binding,87,7,1.1422356616547882e-06,2.0984200544940264e-05
negative regulation of MAPK cascade,170,9,1.1935256034164748e-06,2.185940317694577e-05
positive regulation of BMP signaling pathway,126,8,1.2004738761892842e-06,2.1919628184443975e-05
mesonephros development,31,5,1.2186282145753341e-06,2.2183478349822725e-05
ephrin receptor binding,88,7,1.2344452110371204e-06,2.2402443267704216e-05
heparan sulfate proteoglycan binding,56,6,1.2381380400083644e-06,2.2402443267704216e-05
neuromuscular junction,335,12,1.3463650098972594e-06,2.4287289289983996e-05
sympathetic nervous system development,32,5,1.4370562383288782e-06,2.5845434868923875e-05
p53 binding,174,9,1.447350737798527e-06,2.5952645415195746e-05
positive regulation of canonical NF-kappaB signal transduction,535,15,1.4532843034240919e-06,2.5981252815542946e-05
inflammatory response,839,19,1.4858334287785331e-06,2.6484096443317368e-05
heparin binding,401,13,1.4934420960342434e-06,2.6540726151777695e-05
small GTPase-mediated signal transduction,537,15,1.5210842258846753e-06,2.6951992392968403e-05
regulation of actin cytoskeleton organization,342,12,1.6673769315168595e-06,2.945699245679785e-05
positive regulation of myelination,59,6,1.6918224698879179e-06,2.9800955212231588e-05
AMPA glutamate receptor clustering,15,4,1.749692373531436e-06,3.072993438439815e-05
positive regulation of B cell proliferation,93,7,1.7944157971766125e-06,3.142326376985594e-05
postsynaptic modulation of chemical synaptic transmission,60,6,1.8701345389376293e-06,3.2653748553053825e-05
nucleolus,5992,67,1.8895707740926465e-06,3.289720745942111e-05
cell fate commitment,231,10,1.908171316519945e-06,3.3124747868515804e-05
PML body,287,11,1.9285620664026052e-06,3.328711443314728e-05
regulation of mitotic metaphase/anaphase transition,94,7,1.928640625864436e-06,3.328711443314728e-05
negative regulation of anoikis,34,5,1.965821932185863e-06,3.373440559272531e-05
host-mediated activation of viral transcription,34,5,1.965821932185863e-06,3.373440559272531e-05
actin filament binding,1023,21,1.9914242126818817e-06,3.40761131707194e-05
response to retinoic acid,135,8,2.0180986410160435e-06,3.4434167410384854e-05
nuclear estrogen receptor binding,95,7,2.071152446779709e-06,3.523901137432863e-05
skeletal system development,290,11,2.131473387783781e-06,3.61625895734761e-05
apoptotic process involved in luteolysis,5,3,2.213029302003273e-06,3.744020477315707e-05
positive regulation of cell growth,235,10,2.2245199158627416e-06,3.752859091859707e-05
pre-mRNA binding,62,6,2.2728225885236394e-06,3.8175041314587296e-05
establishment of epithelial cell polarity,35,5,2.281961060381074e-06,3.8175041314587296e-05
positive regulation of protein sumoylation,35,5,2.281961060381074e-06,3.8175041314587296e-05
negative regulation of platelet activation,16,4,2.321661470856752e-06,3.873100431465485e-05
