symbol,unique_domain_count,domain_list,total_raw_traits
SLFN12L,5,"Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Metabolic_and_Lipid",76
SMOC1,5,"Cardiovascular, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid",76
UGT2B10,5,"Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hepatic_and_Renal",76
ACKR2,5,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal",75
ARFGEF2,5,"Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular",75
LINC02763,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm",75
PEAR1,5,"Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal",75
PITPNM2,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal",75
PNLIPRP2,5,"Metabolic_and_Lipid, Hepatic_and_Renal, Cardiovascular, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",75
RPS27P4,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",75
SLC4A10,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm",75
BCL7B,5,"Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal",74
HNF4GP1,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",74
USP8,5,"Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid",74
BMP2,5,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric",73
C17orf67,5,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid",73
CD163L1,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cancer_and_Neoplasm",73
KLHL5P1,5,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cardiovascular",73
MIR4418,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular",73
MRPS31P1,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",73
POLR1F,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm",73
RSRC1,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",73
SEMA3F,5,"Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",73
UHRF1,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune",73
COPB1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm",72
GRM8,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",72
LINC01648,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal",72
MCC,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hepatic_and_Renal, Cardiovascular",72
P2RY2,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm",72
RABGAP1L,5,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological",72
ADRB2,5,"Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological",71
FGF18,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm",71
HLMR1,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cardiovascular, Hematological",71
TUBB1,5,"Hematological, Cardiovascular, Immune_and_Autoimmune, Hepatic_and_Renal, Metabolic_and_Lipid",71
CD226,5,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal",70
CYB5R3,5,"Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Metabolic_and_Lipid, Immune_and_Autoimmune",70
DND1P1,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular, Hematological",70
EHMT2,5,"Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",70
GSEC,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hepatic_and_Renal, Neurological_and_Psychiatric",70
KCNT2,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid",70
KLB,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular",70
NOG,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hepatic_and_Renal, Metabolic_and_Lipid, Neurological_and_Psychiatric",70
RSRP1,5,"Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Neurological_and_Psychiatric",70
C11orf65,5,"Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hepatic_and_Renal",69
DTX2P1-UPK3BP1-PMS2P11,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Immune_and_Autoimmune",69
EPS15L1,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid",69
LIN28B,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm",69
PLK2,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric",69
TLR4,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular",69
VEGFB,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cardiovascular",69
KCNH2,5,"Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cancer_and_Neoplasm",68
MGA,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric",68
RNA5SP214,5,"Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune",68
RTEL1,5,"Hematological, Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",68
TCP1P3,5,"Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hepatic_and_Renal",68
TMPRSS5,5,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid",68
ZNF385D,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm",68
ARHGAP45,5,"Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Metabolic_and_Lipid",67
ATP13A2,5,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",67
BLTP1,5,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",67
CSF3R,5,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",67
EIF4E3,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",67
HERC1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Cardiovascular, Neurological_and_Psychiatric",67
HNRNPK-AS1,5,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",67
KCNJ2,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Cardiovascular, Neurological_and_Psychiatric",67
KNTC1,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric",67
MARK2P13,5,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal",67
SLC10A2,5,"Cancer_and_Neoplasm, Neurological_and_Psychiatric, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal",67
WNT7B,5,"Anthropometric_and_Skeletal, Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal",67
RNA5SP56,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Hepatic_and_Renal",66
SLC6A20,5,"Hepatic_and_Renal, Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm",66
TMC6,5,"Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune, Hepatic_and_Renal, Anthropometric_and_Skeletal",66
ANAPC10,5,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular",65
AP3B1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric",65
CDT1,5,"Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal",65
ELN,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal",65
FOXA3,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Hematological",65
IGBP1P5,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",65
MFAP2,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Hematological",65
PAFAH1B1,5,"Neurological_and_Psychiatric, Cardiovascular, Hematological, Anthropometric_and_Skeletal, Immune_and_Autoimmune",65
SFRP4,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune",65
UNC79,5,"Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular",65
WNT9A,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm",65
ZNF789,5,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric",65
AP4B1-AS1,5,"Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Metabolic_and_Lipid, Cancer_and_Neoplasm",64
CLN3,5,"Neurological_and_Psychiatric, Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm",64
HSD17B13,5,"Metabolic_and_Lipid, Hepatic_and_Renal, Hematological, Anthropometric_and_Skeletal, Immune_and_Autoimmune",64
LINC00558,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",64
TRIM46,5,"Hepatic_and_Renal, Cancer_and_Neoplasm, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological",64
COMMD1,5,"Hematological, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",63
CRB1,5,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular",63
IFIH1,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",63
IRS1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Cardiovascular, Cancer_and_Neoplasm",63
MEF2C-AS2,5,"Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular",63
PDXDC2P-NPIPB14P,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Immune_and_Autoimmune",63
PHTF2,5,"Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Metabolic_and_Lipid",63
PRPS1P1,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune",63
RRBP1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular",63
RYR2,5,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",63
CILP2,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",62
COL27A1,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular",62
COMT,5,"Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal, Metabolic_and_Lipid, Hematological",62
CPB2-AS1,5,"Hepatic_and_Renal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune",62
DDHD1-DT,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm",62
LINC01808,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",62
LINC02587,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric, Cardiovascular",62
ZNF577,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hematological",62
CDC42BPA,5,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric",61
CIITA,5,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hematological",61
CIMAP1B,5,"Hematological, Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal",61
DBH,5,"Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid, Anthropometric_and_Skeletal",61
DEFB136,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune",61
ENPP2,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid",61
FGD5,5,"Cardiovascular, Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Hepatic_and_Renal",61
GNG12-AS1,5,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Immune_and_Autoimmune",61
KCNQ5,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm",61
LINC01470,5,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",61
NINJ1,5,"Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm",61
SMIM14-DT,5,"Hematological, Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric",61
TNFRSF11A,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Metabolic_and_Lipid",61
VGLL4,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm",61
ATP6V1G3,5,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",60
CLDN14,5,"Hepatic_and_Renal, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid",60
DUSP6,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Cardiovascular, Anthropometric_and_Skeletal",60
ELOVL2,5,"Cardiovascular, Metabolic_and_Lipid, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm",60
KCNN4,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid",60
LINC00649,5,"Hematological, Cardiovascular, Hepatic_and_Renal, Anthropometric_and_Skeletal, Metabolic_and_Lipid",60
LINC01267,5,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Cardiovascular, Hepatic_and_Renal, Hematological",60
LOXL4,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal",60
PCLO,5,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",60
WNK1,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",60
EIF2S2P7,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune, Anthropometric_and_Skeletal",59
IL34,5,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Metabolic_and_Lipid, Hepatic_and_Renal",59
LINC00310,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal",59
LINC01724,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm",59
SLCO1B3-SLCO1B7,5,"Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric",59
SMARCB1,5,"Hepatic_and_Renal, Cardiovascular, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric",59
TMEM161B-DT,5,"Hepatic_and_Renal, Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",59
CHRNB4,5,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal",58
GML,5,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal, Immune_and_Autoimmune",58
HGF,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Immune_and_Autoimmune",58
KIAA0232,5,"Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Cardiovascular, Anthropometric_and_Skeletal",58
LINC01104,5,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm",58
LSM3,5,"Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Cardiovascular",58
RNU1-63P,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",58
RNU6-1299P,5,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm",58
TCF20,5,"Neurological_and_Psychiatric, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",58
ZCCHC8,5,"Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Neurological_and_Psychiatric",58
ECM1P2,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm",57
F2,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal",57
GMDS-DT,5,"Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Neurological_and_Psychiatric, Cardiovascular",57
IMMP2L,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",57
KRT8P28,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Hepatic_and_Renal, Hematological",57
MIF-AS1,5,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cardiovascular",57
MOV10,5,"Cardiovascular, Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric",57
PEX6,5,"Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal",57
RPL12P40,5,"Cancer_and_Neoplasm, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular",57
RPLP0P9,5,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm",57
SCN5A,5,"Cardiovascular, Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",57
SERPING1,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",57
SIX3,5,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal",57
TEF,5,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",57
CR1,5,"Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Hepatic_and_Renal, Cardiovascular",56
ERVE-5,5,"Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",56
FBN3,5,"Neurological_and_Psychiatric, Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",56
H4C5,5,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Hematological",56
HTR1A,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm",56
KLHDC7B-DT,5,"Hematological, Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm",56
LINC01624,5,"Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal",56
MMP9,5,"Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Anthropometric_and_Skeletal",56
MYH9,5,"Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid",56
PELATON,5,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm",56
RIOK3,5,"Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric",56
CASC19,5,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Immune_and_Autoimmune, Metabolic_and_Lipid, Hepatic_and_Renal",55
CCN3,5,"Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Metabolic_and_Lipid",55
GIGYF2,5,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Metabolic_and_Lipid",55
INHBE,5,"Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",55
LINC02247,5,"Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Metabolic_and_Lipid, Cardiovascular",55
MAP2K2,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Metabolic_and_Lipid, Hematological, Cardiovascular",55
PAK2,5,"Immune_and_Autoimmune, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cardiovascular",55
PGPEP1,5,"Cardiovascular, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",55
PLXNA4,5,"Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm",55
RIMS1,5,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular, Anthropometric_and_Skeletal",55
RNU6-983P,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular",55
RPL8P1,5,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological",55
VAV3,5,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm",55
ACTL11P,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Hematological",54
ADAM12,5,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological",54
AHI1,5,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",54
CHN2,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune",54
KIF27,5,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hepatic_and_Renal",54
LINC02831,5,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular",54
